Palas de Rei;48107;2036;512;2036;48619;50862
O Vicedo;9200;1398;0;1398;9200;11562
Redondela;106379;3901;552;3901;106931;141895
Pontecesures;13611;222;131;222;13742;19124
Dumbría;21111;1102;1109;1102;22220;22220
Mondariz;72800;2685;13413;2685;86212;89164
Vilanova de Arousa;49887;948;5696;948;55583;62213
Guntín;24497;503;359;503;24856;26137
O Barco de Valdeorras;25013;3717;467;3717;25480;57898
Monterrei;29767;579;0;579;29767;32724
Santiago de Compostela;69516;20029;6524;20029;76039;269736
O Páramo;20001;426;122;426;20123;20123
Negueira de Muñiz;4606;109;0;109;4606;4606
O Grove;33202;1202;676;1202;33878;49818
O Porriño;54524;5561;965;5561;55489;78844
A Mezquita;11950;534;221;534;12171;16391
Frades;7391;2791;79;2791;7471;20663
Vilamarín;24178;421;517;421;24695;24695
Malpica de Bergantiños;54864;2591;2722;2591;57586;64050
Barro;28813;586;113;586;28925;29029
Baltar;18730;473;0;473;18730;20854
Sada;27454;8455;4549;8455;32003;73514
Boimorto;7374;667;0;667;7374;7374
O Incio;36005;705;0;705;36005;36862
Castroverde;52442;914;0;914;52442;54335
Paradela;31857;643;84;643;31941;32102
Begonte;18334;916;91;916;18425;20579
Irixoa;5641;1352;568;1352;6209;6671
A Guarda;25606;2117;0;2117;25606;46851
A Gudiña;14100;853;0;853;14100;20372
A Teixeira;7588;136;0;136;7588;8683
Fisterra;13846;1364;6802;1364;20648;28806
Entrimo;19388;373;0;373;19388;19449
Vilar de Barrio;20035;405;102;405;20137;22953
Alfoz;17299;620;905;620;18204;18204
Oroso;11685;1636;481;1636;12166;20758
Ribas de Sil;14367;488;616;488;14983;16295
Laza;28334;788;653;788;28988;32858
Trazo;8497;1096;433;1096;8930;9758
Riós;35013;800;39;800;35052;35052
Bande;28766;578;0;578;28766;30128
Pol;40993;1171;29;1171;41022;41816
Montederramo;18578;649;140;649;18718;19474
Triacastela;12477;307;0;307;12477;13570
Viveiro;4734;7713;992;7713;5726;17717
As Pontes de García Rodríguez;15059;3968;170;3968;15229;45207
Coles;36181;592;0;592;36181;36425
A Peroxa;31146;897;2859;897;34005;34005
Corcubión;5500;324;439;324;5940;7771
A Pobra do Brollón;32430;839;0;839;32430;34084
Toques;12085;449;0;449;12085;12085
Beade;5681;45;0;45;5681;5681
Piñor;17496;474;0;474;17496;17496
Carballo;65816;3013;1379;3013;67196;122287
Vigo;137181;15674;28579;15674;165760;550982
Carballedo;48654;827;0;827;48654;48654
A Pobra de Trives;26569;605;608;605;27177;32998
Gondomar;43460;1397;13267;1397;56727;59390
Mañón;13192;1877;445;1877;13638;18045
Sarria;70433;2838;125;2838;70559;94332
Cerceda;2859;2780;194;2780;3053;16877
Valga;29473;657;0;657;29473;32767
Xunqueira de Ambía;18690;588;0;588;18690;20186
Vilar de Santos;13350;186;0;186;13350;14274
Teo;14795;6681;3643;6681;18438;32099
Cabanas;17740;2444;942;2444;18683;24146
San Cibrao das Viñas;33619;1668;73;1668;33692;35752
Muras;1268;736;0;736;1268;2099
A Pontenova;42964;997;0;997;42964;47488
Monfero;20735;1247;0;1247;20735;20735
Verea;26682;345;0;345;26682;26682
Rubiá;20806;671;0;671;20806;24842
A Pastoriza;73446;1336;0;1336;73446;77525
Miño;16418;5184;1404;5184;17822;38409
Coirós;6310;1961;7747;1961;14057;14882
Ribadumia;53986;815;5953;815;59938;60350
Navia de Suarna;44041;800;2003;800;46045;47826
Porqueira;18359;291;0;291;18359;19768
Pontevedra;145641;5513;4339;5513;149980;222923
San Xoán de Río;16591;333;0;333;16591;16942
Laxe;21626;1343;1338;1343;22964;31402
Sanxenxo;79784;2132;569;2132;80353;86843
Sobrado;22140;909;1470;909;23610;23610
Melón;21720;495;462;495;22182;22182
Samos;21760;1122;0;1122;21760;22595
Foz;13559;1746;0;1746;13559;36106
Fornelos de Montes;22249;609;1767;609;24017;25060
A Coruña;21557;22644;1911;22644;23468;271037
Lobios;29560;994;954;994;30514;30514
Verín;46863;1264;1096;1264;47958;71793
Ares;402;7310;0;7310;402;37813
As Somozas;3501;1567;0;1567;3501;3501
Vilariño de Conso;13469;356;0;356;13469;15338
Castro de Rei;56298;1562;0;1562;56298;58917
Meira;17141;346;0;346;17141;20474
Culleredo;16060;7729;7818;7729;23877;78047
Lugo;159652;23837;376;23837;160028;340573
Cabana de Bergantiños;52344;1115;1079;1115;53423;53910
Paderne de Allariz;23381;516;95;516;23476;23476
Allariz;18704;13212;1283;13212;19988;30150
A Illa de Arousa;2252;482;431;482;2682;15756
Betanzos;15664;4620;520;4620;16184;35843
Boqueixón;8768;1013;399;1013;9167;9167
Gomesende;17745;247;462;247;18207;18207
Arzúa;16601;2915;0;2915;16601;24918
Cortegada;18805;340;712;340;19517;22546
Moaña;43508;1042;32408;1042;75916;86851
Val do Dubra;19761;1252;409;1252;20169;23167
Lobeira;18821;307;0;307;18821;19566
Brión;21629;1650;528;1650;22157;28487
Lourenzá;17836;724;0;724;17836;20148
Tui;59537;3870;4531;3870;64068;78597
Esgos;16471;384;0;384;16471;16471
Dozón;16242;342;162;342;16403;16403
Poio;30673;3534;0;3534;30673;102697
Paderne;15119;2194;1588;2194;16707;22597
Baiona;20975;1238;1404;1238;22379;56866
Moeche;1973;2025;161;2025;2133;4196
Cartelle;47923;1151;76;1151;47999;48081
Ponteareas;134114;5866;3168;5866;137282;154032
O Pereiro de Aguiar;47805;1438;914;1438;48720;50755
Narón;8882;17291;4667;17291;13548;94520
Soutomaior;17395;477;1185;477;18580;26021
Rianxo;57265;1723;251;1723;57516;64303
Castro Caldelas;20367;612;646;612;21013;28822
Bueu;22434;5450;29765;5450;52199;65196
O Saviñao;61117;1096;0;1096;61117;68120
Vedra;30165;2474;4563;2474;34727;35678
Vilardevós;35502;587;103;587;35605;37569
Petín;7160;234;739;234;7899;12873
Cervantes;42785;1285;385;1285;43170;44270
Vimianzo;63108;1866;1103;1866;64212;69359
Sandiás;15143;412;0;412;15143;15329
Láncara;40459;836;195;836;40654;45199
Monforte de Lemos;61500;3059;467;3059;61967;91357
Cotobade;50886;1324;3579;1324;54465;54982
Catoira;20007;535;573;535;20580;20580
Santa Comba;40643;1606;0;1606;40643;47494
Bergondo;8969;6237;2942;6237;11911;88752
Punxín;14793;212;865;212;15658;15658
Crecente;55166;743;2024;743;57190;57190
Vilaboa;29616;774;15546;774;45162;45162
Mondoñedo;31148;1709;90;1709;31238;39456
Boiro;28247;1698;2542;1698;30789;43300
Touro;16373;1103;24;1103;16397;17418
Padrón;27980;1232;452;1232;28432;31578
Guitiriz;53737;2635;0;2635;53737;67270
Amoeiro;36080;438;211;438;36290;36290
Carballeda de Valdeorras;23562;525;136;525;23698;25437
Baños de Molgas;27076;1959;233;1959;27309;27858
O Rosal;5768;1424;0;1424;5768;77906
Friol;12346;15028;0;15028;12346;15301
Baleira;30630;661;70;661;30700;31677
Sober;51159;1506;68;1506;51227;51500
Valdoviño;30887;6275;2375;6275;33262;33893
Ponte Caldelas;23212;1358;0;1358;23212;29498
O Corgo;59360;1608;167;1608;59527;62508
Mugardos;5348;6048;348;6048;5695;30144
Dodro;17251;906;2126;906;19377;19846
Melide;31710;1860;18;1860;31728;49122
Caldas de Reis;40807;1094;772;1094;41579;46417
Portas;16936;286;215;286;17151;17151
Outes;14058;2683;706;2683;14764;18802
A Laracha;43797;2477;2246;2477;46043;62709
Covelo;69845;1852;9839;1852;79684;80572
Celanova;43106;1099;167;1099;43274;49521
Marín;58896;872;19444;872;78340;85804
Vilarmaior;1453;1189;0;1189;1453;1453
Vilalba;125713;4867;53;4867;125766;143677
Xove;4162;1369;0;1369;4162;8611
Os Blancos;15507;255;0;255;15507;15507
Baralla;44431;707;0;707;44431;50049
Tomiño;121667;2059;3037;2059;124704;128654
Vila de Cruces;57212;2076;856;2076;58068;60988
Ribeira;24093;3109;4315;3109;28407;75465
Cerdido;1154;1201;0;1201;1154;1154
Avión;31893;424;1584;424;33477;33477
O Irixo;31935;593;437;593;32371;32371
Manzaneda;17343;448;605;448;17948;20070
Toén;34534;550;46;550;34579;34579
Carral;8242;3753;3592;3753;11834;23700
Oímbra;18727;309;0;309;18727;18813
Cee;31421;1132;4715;1132;36136;45167
Moraña;34637;509;0;509;34637;36897
A Pobra do Caramiñal;13896;1181;637;1181;14533;33700
Oleiros;13913;17179;4291;17179;18205;203414
Rodeiro;43100;690;447;690;43547;44851
Castrelo de Miño;28455;422;0;422;28455;29964
Mazaricos;54971;2223;1679;2223;56649;57124
Cerdedo;21016;463;2174;463;23190;25042
Taboada;10532;591;77;591;10610;17556
Nigrán;44728;1536;2407;1536;47136;64657
Ferrol;32640;20218;11378;20218;44018;160331
Maceda;27873;864;840;864;28713;33912
Forcarei;36960;1051;23;1051;36984;39741
Lousame;25617;832;1703;832;27320;27320
Ames;39247;2640;6304;2640;45551;71183
Porto do Son;24942;1834;1929;1834;26870;31179
Vilagarcía de Arousa;36216;2155;1355;2155;37570;111202
Outeiro de Rei;37578;1536;78;1536;37656;39653
Parada de Sil;14814;554;0;554;14814;14936
Mesía;7195;2729;228;2729;7422;7422
Trasmiras;19971;451;165;451;20136;21396
Pontedeume;9963;3435;949;3435;10912;22007
San Amaro;12124;264;183;264;12306;12306
Oia;37130;899;4618;899;41748;42500
Cambados;63057;1204;6536;1204;69593;81032
Riotorto;21559;465;138;465;21697;23302
O Pino;19556;2722;202;2722;19758;24885
Maside;34460;721;0;721;34460;35220
Leiro;21741;353;1654;353;23395;23684
Camariñas;23971;2452;5113;2452;29084;46578
Ourense;152271;13281;1271;13281;153543;255293
A Baña;15797;1081;1102;1081;16898;17384
Becerreá;39903;971;0;971;39903;49117
Rairiz de Veiga;22532;354;0;354;22532;22532
Muíños;25635;575;349;575;25984;27482
Ribeira de Piquín;18366;276;76;276;18442;18442
Ribadavia;22510;629;0;629;22510;25323
Quintela de Leirado;10906;145;0;145;10906;10906
Cuntis;24764;1081;0;1081;24764;25774
San Cristovo de Cea;41283;825;114;825;41397;41460
O Carballiño;59348;1071;751;1071;60099;74062
Cedeira;24705;2995;582;2995;25287;38337
Burela;7689;557;90;557;7779;40109
Mondariz-Balneario;2727;290;1149;290;3876;5186
Rábade;2875;306;0;306;2875;12698
Negreira;23034;2774;1946;2774;24979;30693
Santiso;4672;1525;0;1525;4672;4672
Barbadás;29392;1632;1874;1632;31266;50055
Muxía;35582;2657;10471;2657;46053;51037
Trabada;19207;783;0;783;19207;20266
Coristanco;20015;1929;0;1929;20015;26207
A Capela;5674;694;0;694;5674;5674
Beariz;12133;225;109;225;12243;12243
O Valadouro;6795;716;372;716;7167;9505
Abegondo;30069;5178;3372;5178;33441;33624
A Bola;16845;260;0;260;16845;16845
Fene;5099;5984;799;5984;5898;42322
Salvaterra de Miño;68080;2849;6956;2849;75036;82230
Castrelo do Val;21364;2351;188;2351;21552;23979
Calvos de Randín;23021;652;0;652;23021;23066
Boborás;39054;602;33;602;39087;39484
Ponteceso;62972;2662;1443;2662;64415;73951
Noia;14167;2973;604;2973;14771;29958
Agolada;37932;1336;0;1336;37932;39325
Cospeito;19085;871;0;871;19085;24533
Cenlle;21015;317;62;317;21078;21318
Sarreaus;20519;570;0;570;20519;20519
A Arnoia;13944;255;437;255;14381;14381
Mos;40719;1974;8240;1974;48959;60776
Pedrafita do Cebreiro;22516;640;232;640;22748;24550
Quiroga;44424;1790;993;1790;45417;50404
Silleda;70033;2003;0;2003;70033;77044
Bóveda;19238;685;50;685;19288;21966
Chantada;77597;2012;469;2012;78066;86361
Vilamartín de Valdeorras;15901;565;0;565;15901;17959
Curtis;14613;3681;603;3681;15217;28989
Pantón;39290;1017;0;1017;39290;41838
Vilasantar;11575;1634;235;1634;11810;12616
Ourol;899;1127;297;1127;1196;2366
As Nogais;23350;1048;0;1048;23350;24815
Carballeda de Avia;20923;488;1004;488;21927;22258
A Merca;34306;1009;64;1009;34370;35139
Portomarín;22358;1039;0;1039;22358;25083
Muros;38474;1593;5467;1593;43940;47014
Arteixo;29463;8221;17325;8221;46788;115101
Antas de Ulla;34970;613;0;613;34970;38888
Ramirás;31741;415;146;415;31888;31888
Ribadeo;35932;2818;454;2818;36386;57253
Meis;51255;1474;6209;1474;57464;58275
Tordoia;7458;800;1018;800;8476;8476
Neda;7487;3385;332;3385;7819;19939
Folgoso do Courel;28411;1401;406;1401;28817;28817
Oza-Cesuras;13429;5997;3637;5997;17065;17237
Cualedro;26174;753;0;753;26174;27052
Taboadela;7382;206;0;206;7382;7382
A Rúa;8501;562;0;562;8501;29966
Xermade;7747;1108;205;1108;7951;8027
Abadín;5950;891;0;891;5950;7645
Aranga;8754;2336;1377;2336;10131;10131
As Neves;69135;1756;3477;1756;72613;74764
Cambre;39730;6742;13017;6742;52746;69978
Cervo;7135;1260;0;1260;7135;18745
San Sadurniño;1297;1989;136;1989;1433;2302
Xunqueira de Espadanedo;14790;232;0;232;14790;14790
Monterroso;39384;1148;0;1148;39384;51622
Padrenda;23118;487;2599;487;25718;26607
Larouco;5516;156;0;156;5516;9410
Cariño;15112;2953;185;2953;15298;27358
Campo Lameiro;27529;420;314;420;27843;27843
Chandrexa de Queixa;3530;255;4170;255;7700;7700
Ordes;19901;3141;548;3141;20448;36645
A Cañiza;59772;1798;4152;1798;63924;67654
A Fonsagrada;65347;1501;0;1501;65347;70334
Salceda de Caselas;22521;1030;3437;1030;25957;28510
Nogueira de Ramuín;34438;1049;340;1049;34777;34837
Xinzo de Limia;64762;1405;336;1405;65099;70142
Pazos de Borbén;17536;579;1624;579;19159;19436
Meaño;33469;642;1826;642;35295;35295
Rois;27386;1048;0;1048;27386;27448
A Veiga;34013;813;0;813;34013;34013
Lalín;97937;4004;1217;4004;99154;120607
O Bolo;30832;592;106;592;30939;32250
A Estrada;19293;4552;81;4552;19373;37911
Zas;21350;1245;0;1245;21350;23022
A Lama;31794;632;0;632;31794;31896
Pontedeva;6702;104;50;104;6752;6752
Barreiros;20921;1069;0;1069;20921;25459
Ortigueira;52413;8211;1332;8211;53745;59296
Arbo;61865;1829;1201;1829;63066;65338
Viana do Bolo;52613;761;123;761;52736;61307
Carnota;37282;2216;1336;2216;38618;39054
